Atributo,Tipo,Cantidad,Minimo,Mediana,Maximo,Promedio,Desv Std,% Nulos,% Ceros
ENC_ANNO_INGRESO,int64,19770,1997,2018.0,2021,2017.615933,2.395119,0.0,0.0
ENC_MESES_CONDENA,int64,19770,0,91.0,720,129.380931,113.355656,0.0,0.025291
