classifier,params,sensitive_group,positive_prediction_probability,variance,best_result
XGBClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 1,0.12222222222222222,0.10728395061728396,0
XGBClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 0,0.11363636363636363,0.10072314049586777,0
XGBClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 1,0.12222222222222222,0.10728395061728396,0
XGBClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 0,0.11363636363636363,0.10072314049586777,0
XGBClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 1,0.12222222222222222,0.10728395061728396,0
XGBClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 0,0.11363636363636363,0.10072314049586777,0
XGBClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 1,0.12222222222222222,0.10728395061728396,0
XGBClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 0,0.11363636363636363,0.10072314049586777,0
XGBClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 1,0.12222222222222222,0.10728395061728396,0
XGBClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 0,0.11363636363636363,0.10072314049586777,0
XGBClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 1,0.12222222222222222,0.10728395061728396,0
XGBClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",ENC_GENERO = 0,0.11363636363636363,0.10072314049586777,0
XGBClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 1,0.12222222222222222,0.10728395061728396,0
XGBClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 0,0.11363636363636363,0.10072314049586777,0
XGBClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 1,0.12222222222222222,0.10728395061728396,0
XGBClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",ENC_GENERO = 0,0.11363636363636363,0.10072314049586777,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
DecisionTreeClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",ENC_GENERO = 0,0.22727272727272727,0.17561983471074377,0
DecisionTreeClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",ENC_GENERO = 1,0.2511111111111111,0.18805432098765437,0
