classifier,POS_CON_ENC,BEN_TRV_ENC,BEN_FA_ENC,BEN_FPT_ENC,BEN_PDT_ENC,POS_SPU_ENC,REG_SAL_ENC,SEXO_ENC,NIV_EDU_ENC,POS_SSO_ENC,GRUPO_ETAR_ENC_Entre 18 y 25 años,GRUPO_ETAR_ENC_Entre 26 y 40 años,GRUPO_ETAR_ENC_Entre 41 y 60 años,GRUPO_ETAR_ENC_Mayor de 60 años,EX_GRUPO_ENC_AUC,EX_GRUPO_ENC_ELN,EX_GRUPO_ENC_EPL,EX_GRUPO_ENC_ERG,EX_GRUPO_ENC_ERP,EX_GRUPO_ENC_FARC,TIP_VIV_ENC_Apartamento,TIP_VIV_ENC_Casa,TIP_VIV_ENC_Casa_Lote,TIP_VIV_ENC_Finca,TIP_VIV_ENC_Habitacion,TIP_VIV_ENC_Otro,TIP_VIV_ENC_Rancho,TIP_VIV_ENC_Vivienda indigena,REG_VIV_ENC_Familiar,REG_VIV_ENC_No_Registra,REG_VIV_ENC_Otra_forma,REG_VIV_ENC_Sana_posesión_título,REG_VIV_ENC_arriendo_subarriendo,REG_VIV_ENC_usufructo,OCU_ECO_ENC_Desocupados,OCU_ECO_ENC_Ocupados_Informal,DEP_RES_ENC,MUN_RES_ENC,NUM_HIJOS_NOR,AÑO_ING_NOR
RidgeClassifierCV_HYPERPARAMETER,0.020630372,0.021456067,0.002268997,0.001146661,0.000194712,0.141218633,0.145775284,-0.00359114,0.049862118,0.037198012,9.66E-06,-0.01095971,-0.001637439,-0.000340704,0.486974977,0,0.000278141,0.002270795,4.47E-05,0.006631693,-9.11E-05,0.025153763,0.001199824,0.020734215,0.000376733,0,0,0,0.000307947,1.38E-05,0.28541904,0,0.046127014,0.013283334,0.053285729,0.018884513,-0.203727995,0.048077572,0.056735676,0.038164578
CalibratedClassifierCV,0.033942051,0.027367769,0.001805086,0.000522627,-0.001067995,0.131534988,0.103864389,-0.007699664,0.073480062,0.053718168,7.04E-05,-0.021105227,-0.002327726,-0.003247159,0.439733903,-0.004935758,0.000869294,0.002696652,0.000283983,0.024396627,-3.22E-05,0.030674447,0.002736178,0.026555658,0.000622037,-0.003635802,-0.000549638,-0.001573802,-0.000351076,7.52E-05,0.318271662,-0.000745525,0.058100044,0.01377023,0.057168193,0.038244154,-0.164908879,0.005134331,0.052147139,0.172291792
