Atributo,Tipo,Cantidad,Minimo,Mediana,Maximo,Promedio,Desv Std,% Nulos,% Ceros
DEP_RES_ENC,float64,17094,4.6798951703481845e-05,0.0472201422688131,0.2119992512167727,0.07943,0.072052,0.0,0.0
MUN_RES_ENC,float64,17094,4.6798951703481845e-05,0.0080962186447023,0.0861100711344066,0.021429,0.029537,0.0,0.0
AÑO_ING_NOR,float64,17094,2003.0,2006.0,2019.0,2007.402948,2.908545,0.0,0.0
