id,algorithm,stage,intervention,process,accuracy,recall,selection_rate,sensitivity,specificity,precision,num_positives,error_rate,error_rate_difference,error_rate_ratio,false_discovery_rate,false_discovery_rate_difference,false_discovery_rate_ratio,false_negative_rate,false_negative_rate_difference,false_negative_rate_ratio,false_omission_rate,false_omission_rate_difference,false_omission_rate_ratio,false_positive_rate,false_positive_rate_difference,false_positive_rate_ratio,generalized_entropy_index,generalized_false_negative_rate,generalized_false_positive_rate,generalized_true_negative_rate,generalized_true_positive_rate,negative_predictive_value,num_false_negatives,num_false_positives,num_generalized_false_negatives,num_generalized_false_positives,num_generalized_true_negatives,num_pred_negatives,num_pred_positives,num_true_negatives,num_true_positives,positive_predictive_value,average_abs_odds_difference,average_odds_difference,between_all_groups_coefficient_of_variation,between_all_groups_generalized_entropy_index,between_all_groups_theil_index,between_group_coefficient_of_variation,between_group_generalized_entropy_index,between_group_theil_index,coefficient_of_variation,differential_fairness_bias_amplification,disparate_impact,equal_opportunity_difference,equalized_odds_difference,average_predictive_value_difference,statistical_parity_difference,theil_index,true_negative_rate,true_positive_rate,true_positive_rate_difference,base_rate,consistency,num_negatives,mean_difference,smoothed_empirical_differential_fairness,f1_score,matthews_corrcoef,zero_one_loss,roc_auc_score,balanced_accuracy,fair_utility,log_likelihood,disparate_mistreatment,h_mean_fairness,h_mean_performance,h_mean_mixed,Total_real_time,Total_CPU_usage (%),Total_GPU_usage (%),Total_CPU_time (s),Total_GPU_time (s),Energy_consumption (Ws),CO2_emissions (gCO2e),false_negative_rate_difference_abs
99b01670-8bb0-4cd0-b421-fc8559d4b235,GradientBoostingClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.8306036499766027,0.9753015508328546,0.9438465138043987,0.9753015508328546,0.19444444444444445,0.841844323252355,3482.0,0.16939635002339726,-0.08817241369106621,0.5242221991585302,0.15815567674764502,-0.07633413706878954,0.5579657949172577,0.02469844916714532,-0.029059895248494425,0.04717731696995345,0.35833333333333334,-0.11016949152542371,0.6941176470588235,0.8055555555555556,0.1722277722277722,1.218338399189463,0.059889200110810205,0.02469844916714532,0.8055555555555556,0.19444444444444445,0.9753015508328546,0.6416666666666667,86.0,638.0,86.0,638.0,154.0,240.0,4034.0,154.0,3396.0,0.841844323252355,0.10064383373813329,0.10064383373813329,0.014384389666560134,0.00010345533303972098,0.00010429258906420868,0.014384389666560134,0.00010345533303972098,0.00010429258906420868,0.34609016198329073,1.7391671485185156,1.0667038953704204,0.029059895248494394,0.1722277722277722,-0.01691767722831708,0.06220871567098596,0.06180110854916985,0.19444444444444445,0.9753015508328546,0.029059895248494394,0.8146934955545156,[0.79232569],792.0,0.10442811361679338,0.7116076880271394,0.903672166045769,0.2864856963468097,0.16939635002339726,0.5848729976386495,0.5848729976386495,0.5260091369063817,-10225545.157754587,0.14316787697927777,0.9709401047515057,0.938121546961326,0.9488117474565367,8.931252002716064,11.2,0.0,106.3145668029785,0.0,442.9773616790771,0.038268322078386936,0.029059895248494425
99b01670-8bb0-4cd0-b421-fc8559d4b235,XGBClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.8256902199344875,0.946869615163699,0.9024333177351427,0.946869615163699,0.29292929292929293,0.8548094373865699,3482.0,0.17430978006551245,-0.08310277176920366,0.5610468978344627,0.14519056261343014,-0.0648993373584699,0.5888825649781826,0.053130384836300976,-0.044807727553156616,0.2781552792448122,0.44364508393285373,0.19690558053425017,1.4529966534834196,0.7070707070707071,0.22377622377622375,1.3265306122448979,0.07040847396921901,0.053130384836300976,0.7070707070707071,0.29292929292929293,0.946869615163699,0.5563549160671463,185.0,560.0,185.0,560.0,232.0,417.0,3857.0,232.0,3297.0,0.8548094373865699,0.13429197566469014,0.13429197566469014,0.005443153395973502,1.4813959446048936e-05,1.4858863022214343e-05,0.005443153395973502,1.4813959446048936e-05,1.4858863022214343e-05,0.37525584331018486,0.7945893700233644,1.100454536349554,0.04480772755315654,0.22377622377622375,0.13090245894636002,0.08903794426870804,0.08288550445031469,0.29292929292929293,0.946869615163699,0.04480772755315654,0.8146934955545156,[0.79232569],792.0,0.10442811361679338,0.7116076880271394,0.8984875323613571,0.3140012149737038,0.17430978006551245,0.6198994540464959,0.6198994540464959,0.5366519316491293,-12228074.547030058,0.17896849622306713,0.9551922724468432,0.9220443263650981,0.932835021208477,7.606448173522949,23.799999999999997,0.0,202.67036361694335,0.0,844.4598484039307,0.07295194801489512,0.044807727553156616
99b01670-8bb0-4cd0-b421-fc8559d4b235,RidgeClassifierCV,BASE_LINE,NONE,BASE_LINE_VALUES,0.8221806270472625,0.996553704767375,0.986897519887693,0.996553704767375,0.05555555555555555,0.822664770033191,3482.0,0.17781937295273753,-0.09687136588122847,0.5040299366724238,0.17733522996680892,-0.09759976412755662,0.4998193365884951,0.0034462952326249283,-0.0025080473834065142,0.36455199476782213,0.21428571428571427,0.12578616352201255,1.606060606060606,0.9444444444444444,0.03276723276723281,1.0348121417957972,0.053915004322691994,0.0034462952326249283,0.9444444444444444,0.05555555555555555,0.996553704767375,0.7857142857142857,12.0,748.0,12.0,748.0,44.0,56.0,4218.0,44.0,3470.0,0.822664770033191,0.01763764007531965,0.01763764007531965,0.030580973393998363,0.0004675979668622179,0.00047579685646196315,0.030580973393998363,0.0004675979668622179,0.00047579685646196315,0.32837479904125405,0.5042150227693971,1.011421047175948,0.0025080473834064865,0.03276723276723281,0.11169296382478461,0.01124819866072091,0.048089926853611235,0.05555555555555555,0.996553704767375,0.0025080473834064865,0.8146934955545156,[0.79232569],792.0,0.10442811361679338,0.7116076880271394,0.9012987012987013,0.1780510673682244,0.17781937295273753,0.5260546301614654,0.5260546301614653,0.516776267934722,-9847048.637699846,0.030259185383826298,0.9974919526165934,0.9465357337697762,0.9629326605000201,7.763662338256836,34.9,0.0,289.2985442876816,0.0,1205.4106011986732,0.10413408249244094,0.0025080473834065142
99b01670-8bb0-4cd0-b421-fc8559d4b235,LinearDiscriminantAnalysis,BASE_LINE,NONE,BASE_LINE_VALUES,0.8238184370613009,0.9753015508328546,0.9506317267197005,0.9753015508328546,0.15782828282828282,0.8358355894659119,3482.0,0.17618156293869913,-0.09012984438204075,0.5316992358666073,0.16416441053408812,-0.08164594603369944,0.5452927633900219,0.02469844916714532,-0.023666922221103632,0.19561326548517285,0.4075829383886256,0.2666666666666666,1.6666666666666665,0.8421717171717171,0.14605394605394606,1.176399613899614,0.06110809775985546,0.02469844916714532,0.8421717171717171,0.15782828282828282,0.9753015508328546,0.5924170616113744,86.0,667.0,86.0,667.0,125.0,211.0,4063.0,125.0,3396.0,0.8358355894659119,0.08486043413752481,0.08486043413752481,0.01817379415065401,0.00016514339691517296,0.00016683939746258417,0.01817379415065401,0.00016514339691517296,0.00016683939746258417,0.3495943299307226,1.2309401943974938,1.0539224699483436,0.02366692222110356,0.14605394605394606,0.17415630635018303,0.05076595757272673,0.06299591382863501,0.15782828282828282,0.9753015508328546,0.02366692222110356,0.8146934955545156,[0.79232569],792.0,0.10442811361679338,0.7116076880271394,0.9001988071570577,0.23877437928483927,0.17618156293869913,0.5665649168305688,0.5665649168305688,0.518485972021236,-10156779.360595612,0.12238702383284243,0.9763330777788964,0.9362464677096974,0.9492378426573046,7.4728827476501465,46.3,0.0,375.03621461391447,0.0,1562.6508942246437,0.1349956744732956,0.023666922221103632
99b01670-8bb0-4cd0-b421-fc8559d4b235,AdaBoostClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.8240524099204493,0.9698449167145319,0.9415067852129153,0.9698449167145319,0.1830808080808081,0.8392147117296223,3482.0,0.17594759007955074,-0.09142518116960552,0.5249688657923465,0.16078528827037775,-0.08287240202813809,0.5302458461425853,0.03015508328546812,-0.02509131553745163,0.28643371017471736,0.42,0.12495942875689708,1.3021978021978022,0.8169191919191919,0.1164835164835164,1.144593253968254,0.06295382708248262,0.03015508328546812,0.8169191919191919,0.1830808080808081,0.9698449167145319,0.58,105.0,647.0,105.0,647.0,145.0,250.0,4024.0,145.0,3377.0,0.8392147117296223,0.07078741601048405,0.07078741601048405,0.018296971780943617,0.00016738958817632353,0.00016912055575793715,0.018296971780943617,0.00016738958817632353,0.00016912055575793715,0.3548346856847076,0.644774275393108,1.0545263391759039,0.025091315537451697,0.1164835164835164,0.10391591539251757,0.05083623569655238,0.06684657589304592,0.1830808080808081,0.9698449167145319,0.025091315537451697,0.8146934955545156,[0.79232569],792.0,0.10442811361679338,0.7116076880271394,0.8998134825472955,0.2531969858353807,0.17594759007955074,0.57646286239767,0.57646286239767,0.5356565459425318,-12453851.828233423,0.09139220094606477,0.9749086844625483,0.9335176226675882,0.9469185232633163,8.121087074279785,57.5,0.0,466.5150693655014,0.0,1943.8127890229225,0.16792382705170247,0.02509131553745163
99b01670-8bb0-4cd0-b421-fc8559d4b235,LogisticRegressionCV,BASE_LINE,NONE,BASE_LINE_VALUES,0.8191389798783341,0.9798966111430213,0.9627983153954142,0.9798966111430213,0.11237373737373738,0.8291616038882138,3482.0,0.18086102012166594,-0.1021644182598841,0.4874215003637335,0.17083839611178614,-0.09034030244792576,0.5188084208784846,0.020103388856978748,-0.025116612845353426,0.0,0.44025157232704404,-0.445859872611465,0.0,0.8876262626262627,0.09570429570429573,1.1089626933575978,0.06028396775915461,0.020103388856978748,0.8876262626262627,0.11237373737373738,0.9798966111430213,0.559748427672956,70.0,703.0,70.0,703.0,89.0,159.0,4115.0,89.0,3412.0,0.8291616038882138,0.060410454274824554,0.060410454274824554,0.0208378113282615,0.00021710719047611163,0.00021967162212811894,0.0208378113282615,0.00021710719047611163,0.00021967162212811894,0.34722893819252626,1.9204310637543152,1.044223456245111,0.02511661284535338,0.09570429570429573,-0.1777597850817696,0.04224085126781729,0.060494478629067885,0.11237373737373738,0.9798966111430213,0.02511661284535338,0.8146934955545156,[0.79232569],792.0,0.10442811361679338,0.7116076880271394,0.8982493089377386,0.1894330070336549,0.18086102012166594,0.5461351742583793,0.5461351742583793,0.5131429002859702,-9889711.219739415,0.0705876828589423,0.9748833871546466,0.9372982624819723,0.9495004372171905,11.237354278564453,68.9,1.0,595.2084059000015,11.288889169692993,4173.368400037289,0.3605326590032213,0.025116612845353426
99b01670-8bb0-4cd0-b421-fc8559d4b235,NN_CONFIG,BASE_LINE,NONE,NN,0.8214787084698175,0.9910970706490523,0.9787084698175011,0.9910970706490523,0.07575757575757576,0.8250059765718384,3482.0,0.17852129153018248,-0.09614713132096242,0.5091730992915301,0.17499402342816162,-0.09473028001464129,0.5076044044901066,0.008902929350947731,-0.007527756051348372,0.276556685685934,0.34065934065934067,0.16666666666666669,1.5,0.9242424242424242,0.05514485514485512,1.0600130463144162,0.055951334562258516,0.008902929350947731,0.9242424242424242,0.07575757575757576,0.9910970706490523,0.6593406593406593,31.0,732.0,31.0,732.0,60.0,91.0,4183.0,60.0,3451.0,0.8250059765718384,0.031336305598101744,0.031336305598101744,0.028015472957157984,0.00039243336250662517,0.00039871800242150175,0.028015472957157984,0.00039243336250662517,0.00039871800242150175,0.3345185631986916,0.7448577339500966,1.0201624955431312,0.0075277560513483666,0.05514485514485512,0.13069847334065401,0.019661599737233804,0.052098147560723417,0.07575757575757576,0.9910970706490523,0.0075277560513483666,0.8146934955545156,[0.79232569],792.0,0.10442811361679338,0.7116076880271394,0.9004566210045662,0.17994672289922325,0.17852129153018248,0.5334273232033141,0.533427323203314,0.5167116815890376,-9785758.041952565,0.04761709909350675,0.9924722439486515,0.943605167817349,0.9593505814160708,,,,,,,,0.007527756051348372
99b01670-8bb0-4cd0-b421-fc8559d4b235,RidgeClassifierCV,BASE_LINE,HYPERPARAMETER,HYPERPARAMETER,0.8221806270472625,0.996553704767375,0.986897519887693,0.996553704767375,0.05555555555555555,0.822664770033191,3482.0,0.17781937295273753,-0.09687136588122847,0.5040299366724238,0.17733522996680892,-0.09759976412755662,0.4998193365884951,0.0034462952326249283,-0.0025080473834065142,0.36455199476782213,0.21428571428571427,0.12578616352201255,1.606060606060606,0.9444444444444444,0.03276723276723281,1.0348121417957972,0.053915004322691994,0.0034462952326249283,0.9444444444444444,0.05555555555555555,0.996553704767375,0.7857142857142857,12.0,748.0,12.0,748.0,44.0,56.0,4218.0,44.0,3470.0,0.822664770033191,0.01763764007531965,0.01763764007531965,0.030580973393998363,0.0004675979668622179,0.00047579685646196315,0.030580973393998363,0.0004675979668622179,0.00047579685646196315,0.32837479904125405,0.5042150227693971,1.011421047175948,0.0025080473834064865,0.03276723276723281,0.11169296382478461,0.01124819866072091,0.048089926853611235,0.05555555555555555,0.996553704767375,0.0025080473834064865,0.8146934955545156,[0.79232569],792.0,0.10442811361679338,0.7116076880271394,0.9012987012987013,0.1780510673682244,0.17781937295273753,0.5260546301614654,0.5260546301614653,0.516776267934722,-9847048.637699846,0.030259185383826298,0.9974919526165934,0.9465357337697762,0.9629326605000201,,,,,,,,0.0025080473834065142
99b01670-8bb0-4cd0-b421-fc8559d4b235,XGBClassifier,BASE_LINE,HYPERPARAMETER,HYPERPARAMETER,0.8291998128217127,0.9540493968983343,0.9106223678053346,0.9540493968983343,0.2803030303030303,0.8535457348406988,3482.0,0.17080018717828727,-0.08040039296567758,0.5661599750912127,0.14645426515930113,-0.06520455404383978,0.5902174719809989,0.04595060310166571,-0.03943282403140996,0.2673381294964029,0.418848167539267,0.2151639344262295,1.525,0.7196969696969697,0.22417582417582416,1.3212138562839966,0.06727300306802368,0.04595060310166571,0.7196969696969697,0.2803030303030303,0.9540493968983343,0.581151832460733,160.0,570.0,160.0,570.0,222.0,382.0,3892.0,222.0,3322.0,0.8535457348406988,0.13180432410361703,0.13180432410361703,0.007245982608370558,2.6252131980404292e-05,2.6358280697382917e-05,0.007245982608370558,2.6252131980404292e-05,2.6358280697382917e-05,0.36680513373731205,0.8779344777829696,1.0935649518874908,0.03943282403140991,0.22417582417582416,0.14018424423503462,0.08378631899462341,0.07709706765984899,0.2803030303030303,0.9540493968983343,0.03943282403140991,0.8146934955545156,[0.79232569],792.0,0.10442811361679338,0.7116076880271394,0.9010035259018172,0.3191746073791258,0.17080018717828727,0.6171762136006823,0.6171762136006823,0.5358297199142148,-11449764.672185833,0.1847430001444142,0.9605671759685902,0.9267680290138095,0.9377669905706204,,,,,,,,0.03943282403140996
99b01670-8bb0-4cd0-b421-fc8559d4b235,GradientBoostingClassifier,BASE_LINE,HYPERPARAMETER,HYPERPARAMETER,0.8320074871314928,0.9629523262492821,0.9223210107627515,0.9629523262492821,0.2563131313131313,0.8505834601725013,3482.0,0.16799251286850725,-0.08645910700917014,0.5291138526499006,0.14941653982749872,-0.06844009370706329,0.5792986116033905,0.03704767375071798,-0.04089335635904624,0.09547790339157246,0.3885542168674699,-0.013888888888888895,0.9642857142857143,0.7436868686868687,0.21198801198801198,1.2931749101961867,0.06374465903782991,0.03704767375071798,0.7436868686868687,0.2563131313131313,0.9629523262492821,0.6114457831325302,129.0,589.0,129.0,589.0,203.0,332.0,3942.0,203.0,3353.0,0.8505834601725013,0.1264406841735291,0.1264406841735291,0.0077357513822802456,2.9920924724225363e-05,3.005015776798157e-05,0.0077357513822802456,2.9920924724225363e-05,3.005015776798157e-05,0.35705646342792874,1.419515710010667,1.0905317320829406,0.04089335635904623,0.21198801198801198,0.02727560240908719,0.08215586652186901,0.0702611368697213,0.2563131313131313,0.9629523262492821,0.04089335635904623,0.8146934955545156,[0.79232569],792.0,0.10442811361679338,0.7116076880271394,0.9032866379310345,0.3182876897407333,0.16799251286850725,0.6096327287812067,0.6096327287812067,0.5325503494595354,-10796506.009876784,0.17109465562896575,0.9591066436409539,0.9321656936335837,0.9409762516396989,,,,,,,,0.04089335635904624
99b01670-8bb0-4cd0-b421-fc8559d4b235,GradientBoostingClassifier,BASE_LINE,SMOTE,SMOTE,0.7791296209639682,0.8331418724870764,0.7636874122601778,0.8331418724870764,0.5416666666666666,0.8887867647058824,3482.0,0.2208703790360318,-0.08617725474414328,0.635516007108708,0.11121323529411764,-0.03827400540962224,0.679221446518052,0.16685812751292362,-0.10060842606861765,0.46181250776729865,0.5752475247524752,0.17992265677949204,1.3208217814743726,0.4583333333333333,0.29790209790209793,1.6938110749185669,0.12118105400137719,0.16685812751292362,0.4583333333333333,0.5416666666666666,0.8331418724870764,0.42475247524752474,581.0,363.0,581.0,363.0,429.0,1010.0,3264.0,429.0,2901.0,0.8887867647058824,0.19925526198535778,0.19925526198535778,0.022671858573745256,0.0002570065855939531,0.0002538621831039634,0.022671858573745256,0.0002570065855939531,0.0002538621831039634,0.4923028620704478,0.21134012427747773,1.218251914561136,0.10060842606861764,0.29790209790209793,0.10909833109455713,0.1603547047874937,0.17642213446569718,0.5416666666666666,0.8331418724870764,0.10060842606861764,0.8146934955545156,[0.79232569],792.0,0.10442811361679338,0.7116076880271394,0.8600652238363474,0.34280779526479765,0.2208703790360318,0.6874042695768716,0.6874042695768715,0.5504353517524785,-11571789.000147555,0.1972936718334803,0.8993915739313822,0.8463894967177242,0.8633488439836856,,,,,,,,0.10060842606861765
99b01670-8bb0-4cd0-b421-fc8559d4b235,XGBClassifier,BASE_LINE,SMOTE,SMOTE,0.8153954141319607,0.9009190120620333,0.8378568086102012,0.9009190120620333,0.4393939393939394,0.8760122870706507,3482.0,0.1846045858680393,-0.07827725385641959,0.6061394497051992,0.12398771292934935,-0.04423131882148275,0.6675065242152919,0.09908098793796669,-0.073454605529785,0.35420193813403533,0.49783549783549785,0.2145482388973966,1.4419558359621452,0.5606060606060606,0.314085914085914,1.5925367508480963,0.08791409083733095,0.09908098793796669,0.5606060606060606,0.4393939393939394,0.9009190120620333,0.5021645021645021,345.0,444.0,345.0,444.0,348.0,693.0,3581.0,348.0,3137.0,0.8760122870706507,0.1937702598078495,0.1937702598078495,0.01136394209511799,6.456958997059733e-05,6.416863839028859e-05,0.01136394209511799,6.456958997059733e-05,6.416863839028859e-05,0.4193187113338277,0.5583368963145781,1.1655139427160153,0.073454605529785,0.314085914085914,0.12938977885943964,0.13465140571043055,0.11785430233427914,0.4393939393939394,0.9009190120620333,0.073454605529785,0.8146934955545156,[0.79232569],792.0,0.10442811361679338,0.7116076880271394,0.8882910944357921,0.358745674979864,0.1846045858680393,0.6701564757279863,0.6701564757279863,0.5403000813142617,-12582561.471434593,0.24063130855612902,0.926545394470215,0.8945604904826406,0.9049739048825831,,,,,,,,0.073454605529785
99b01670-8bb0-4cd0-b421-fc8559d4b235,RidgeClassifierCV,BASE_LINE,SMOTE,SMOTE,0.7283575105287786,0.7642159678345778,0.7021525503041647,0.7642159678345778,0.5707070707070707,0.886704431856048,3482.0,0.2716424894712214,-0.08174455455505814,0.7145868095196275,0.11329556814395202,-0.047481426924554884,0.6149451405570344,0.23578403216542218,-0.09683964346284005,0.6204049418692894,0.6449332285938727,0.16438277949069313,1.26218012931427,0.4292929292929293,0.214985014985015,1.5264187866927594,0.16441240886034197,0.23578403216542218,0.4292929292929293,0.5707070707070707,0.7642159678345778,0.35506677140612725,821.0,340.0,821.0,340.0,452.0,1273.0,3001.0,452.0,2661.0,0.886704431856048,0.1559123292239275,0.1559123292239275,0.017051532926576796,0.00014537738757306633,0.0001440313578513021,0.017051532926576796,0.00014537738757306633,0.0001440313578513021,0.5734324875002148,-0.12682095967872797,1.2126091846380058,0.09683964346284002,0.214985014985015,0.10593210320762403,0.14376314940685264,0.24365866871715502,0.5707070707070707,0.7642159678345778,0.09683964346284002,0.8146934955545156,[0.79232569],792.0,0.10442811361679338,0.7116076880271394,0.8209162424803331,0.2845606192508694,0.2716424894712214,0.6674615192708243,0.6674615192708242,0.5633960391339686,-12768971.486157404,0.11814537152217494,0.90316035653716,0.7915520190377036,0.8255582287327082,,,,,,,,0.09683964346284005
99b01670-8bb0-4cd0-b421-fc8559d4b235,LinearDiscriminantAnalysis,BASE_LINE,SMOTE,SMOTE,0.728591483387927,0.7642159678345778,0.7019185774450164,0.7642159678345778,0.571969696969697,0.887,3482.0,0.271408516612073,-0.07987811554019464,0.7205462930851532,0.113,-0.04693914642490592,0.6180347122536866,0.23578403216542218,-0.09504198578704312,0.6269267402979025,0.6444270015698587,0.16675485008818336,1.266338028169014,0.42803030303030304,0.21638361638361636,1.531664212076583,0.16431703319446653,0.23578403216542218,0.42803030303030304,0.571969696969697,0.7642159678345778,0.3555729984301413,821.0,339.0,821.0,339.0,453.0,1274.0,3000.0,453.0,2661.0,0.887,0.15571280108532976,0.15571280108532976,0.016494359814550177,0.00013603195284592388,0.00013481285574191035,0.016494359814550177,0.00013603195284592388,0.00013481285574191035,0.5732661392311018,-0.1339638471911082,1.2106935303178827,0.09504198578704315,0.21638361638361636,0.10684699825654465,0.14246781261928787,0.2435895335853098,0.571969696969697,0.7642159678345778,0.09504198578704315,0.8146934955545156,[0.79232569],792.0,0.10442811361679338,0.7116076880271394,0.8210428879975317,0.28556884413535616,0.271408516612073,0.6680928324021375,0.6680928324021373,0.5640622260837688,-12627042.569735918,0.12134163059657324,0.9049580142129569,0.7916108879964302,0.8261009479184324,,,,,,,,0.09504198578704312
